POSIÇÃO	CONDIÇÃO
A011	CHEIO / VAZIO
A012	CHEIO / VAZIO
B011	CHEIO / VAZIO
B012	CHEIO / VAZIO
B013	CHEIO / VAZIO
C011	CHEIO / VAZIO
C012	CHEIO / VAZIO
C013	CHEIO / VAZIO
C014	VAZIO
D011	CHEIO / VAZIO
D012	CHEIO / VAZIO
D013	CHEIO / VAZIO
D014	VAZIO
D015	VAZIO
E011	CHEIO / VAZIO
E012	CHEIO / VAZIO
E013	CHEIO / VAZIO
E014	VAZIO
E015	VAZIO
A021	CHEIO / VAZIO
A022	CHEIO / VAZIO
B021	CHEIO / VAZIO
B022	CHEIO / VAZIO
B023	CHEIO / VAZIO
C021	CHEIO / VAZIO
C022	CHEIO / VAZIO
C023	CHEIO / VAZIO
C024	VAZIO
D021	CHEIO / VAZIO
D022	CHEIO / VAZIO
D023	CHEIO / VAZIO
D024	VAZIO
D025	VAZIO
E021	CHEIO / VAZIO
E022	CHEIO / VAZIO
E023	CHEIO / VAZIO
E024	VAZIO
E025	VAZIO
A031	CHEIO / VAZIO
A032	CHEIO / VAZIO
B031	CHEIO / VAZIO
B032	CHEIO / VAZIO
B033	CHEIO / VAZIO
C031	CHEIO / VAZIO
C032	CHEIO / VAZIO
C033	CHEIO / VAZIO
C034	VAZIO
D031	CHEIO / VAZIO
D032	CHEIO / VAZIO
D033	CHEIO / VAZIO
D034	VAZIO
D035	VAZIO
E031	CHEIO / VAZIO
E032	CHEIO / VAZIO
E033	CHEIO / VAZIO
E034	VAZIO
E035	VAZIO
A041	CHEIO / VAZIO
A042	CHEIO / VAZIO
B041	CHEIO / VAZIO
B042	CHEIO / VAZIO
B043	CHEIO / VAZIO
C041	CHEIO / VAZIO
C042	CHEIO / VAZIO
C043	CHEIO / VAZIO
C044	VAZIO
D041	CHEIO / VAZIO
D042	CHEIO / VAZIO
D043	CHEIO / VAZIO
D044	VAZIO
D045	VAZIO
E041	CHEIO / VAZIO
E042	CHEIO / VAZIO
E043	CHEIO / VAZIO
E044	VAZIO
E045	VAZIO
A051	CHEIO / VAZIO
A052	CHEIO / VAZIO
B051	CHEIO / VAZIO
B052	CHEIO / VAZIO
B053	CHEIO / VAZIO
C051	CHEIO / VAZIO
C052	CHEIO / VAZIO
C053	CHEIO / VAZIO
C054	VAZIO
D051	CHEIO / VAZIO
D052	CHEIO / VAZIO
D053	CHEIO / VAZIO
D054	VAZIO
D055	VAZIO
E051	CHEIO / VAZIO
E052	CHEIO / VAZIO
E053	CHEIO / VAZIO
E054	VAZIO
E055	VAZIO
A061	CHEIO / VAZIO
A062	CHEIO / VAZIO
B061	CHEIO / VAZIO
B062	CHEIO / VAZIO
B063	CHEIO / VAZIO
C061	CHEIO / VAZIO
C062	CHEIO / VAZIO
C063	CHEIO / VAZIO
C064	VAZIO
D061	CHEIO / VAZIO
D062	CHEIO / VAZIO
D063	CHEIO / VAZIO
D064	VAZIO
D065	VAZIO
E061	CHEIO / VAZIO
E062	CHEIO / VAZIO
E063	CHEIO / VAZIO
E064	VAZIO
E065	VAZIO
A071	CHEIO / VAZIO
A072	CHEIO / VAZIO
B071	CHEIO / VAZIO
B072	CHEIO / VAZIO
B073	CHEIO / VAZIO
C071	CHEIO / VAZIO
C072	CHEIO / VAZIO
C073	CHEIO / VAZIO
C074	VAZIO
D071	CHEIO / VAZIO
D072	CHEIO / VAZIO
D073	CHEIO / VAZIO
D074	VAZIO
D075	VAZIO
E071	CHEIO / VAZIO
E072	CHEIO / VAZIO
E073	CHEIO / VAZIO
E074	VAZIO
E075	VAZIO
A081	CHEIO / VAZIO
A082	CHEIO / VAZIO
B081	CHEIO / VAZIO
B082	CHEIO / VAZIO
B083	CHEIO / VAZIO
C081	CHEIO / VAZIO
C082	CHEIO / VAZIO
C083	CHEIO / VAZIO
C084	VAZIO
D081	CHEIO / VAZIO
D082	CHEIO / VAZIO
D083	CHEIO / VAZIO
D084	VAZIO
D085	VAZIO
E081	CHEIO / VAZIO
E082	CHEIO / VAZIO
E083	CHEIO / VAZIO
E084	VAZIO
E085	VAZIO
A091	CHEIO / VAZIO
A092	CHEIO / VAZIO
B091	CHEIO / VAZIO
B092	CHEIO / VAZIO
B093	CHEIO / VAZIO
C091	CHEIO / VAZIO
