POSIÇÃO	CONDIÇÃO
A01-1	CHEIO / VAZIO
A01-2	CHEIO / VAZIO
B01-1	CHEIO / VAZIO
B01-2	CHEIO / VAZIO
B01-3	CHEIO / VAZIO
C01-1	CHEIO / VAZIO
C01-2	CHEIO / VAZIO
C01-3	CHEIO / VAZIO
C01-4	VAZIO
D01-1	CHEIO / VAZIO
D01-2	CHEIO / VAZIO
D01-3	CHEIO / VAZIO
D01-4	VAZIO
D01-5	VAZIO
E01-1	CHEIO / VAZIO
E01-2	CHEIO / VAZIO
E01-3	CHEIO / VAZIO
E01-4	VAZIO
E01-5	VAZIO
A02-1	CHEIO / VAZIO
A02-2	CHEIO / VAZIO
B02-1	CHEIO / VAZIO
B02-2	CHEIO / VAZIO
B02-3	CHEIO / VAZIO
C02-1	CHEIO / VAZIO
C02-2	CHEIO / VAZIO
C02-3	CHEIO / VAZIO
C02-4	VAZIO
D02-1	CHEIO / VAZIO
D02-2	CHEIO / VAZIO
D02-3	CHEIO / VAZIO
D02-4	VAZIO
D02-5	VAZIO
E02-1	CHEIO / VAZIO
E02-2	CHEIO / VAZIO
E02-3	CHEIO / VAZIO
E02-4	VAZIO
E02-5	VAZIO
A03-1	CHEIO / VAZIO
A03-2	CHEIO / VAZIO
B03-1	CHEIO / VAZIO
B03-2	CHEIO / VAZIO
B03-3	CHEIO / VAZIO
C03-1	CHEIO / VAZIO
C03-2	CHEIO / VAZIO
C03-3	CHEIO / VAZIO
C03-4	VAZIO
D03-1	CHEIO / VAZIO
D03-2	CHEIO / VAZIO
D03-3	CHEIO / VAZIO
D03-4	VAZIO
D03-5	VAZIO
E03-1	CHEIO / VAZIO
E03-2	CHEIO / VAZIO
E03-3	CHEIO / VAZIO
E03-4	VAZIO
E03-5	VAZIO
A04-1	CHEIO / VAZIO
A04-2	CHEIO / VAZIO
B04-1	CHEIO / VAZIO
B04-2	CHEIO / VAZIO
B04-3	CHEIO / VAZIO
C04-1	CHEIO / VAZIO
C04-2	CHEIO / VAZIO
C04-3	CHEIO / VAZIO
C04-4	VAZIO
D04-1	CHEIO / VAZIO
D04-2	CHEIO / VAZIO
D04-3	CHEIO / VAZIO
D04-4	VAZIO
D04-5	VAZIO
E04-1	CHEIO / VAZIO
E04-2	CHEIO / VAZIO
E04-3	CHEIO / VAZIO
E04-4	VAZIO
E04-5	VAZIO
A05-1	CHEIO / VAZIO
A05-2	CHEIO / VAZIO
B05-1	CHEIO / VAZIO
B05-2	CHEIO / VAZIO
B05-3	CHEIO / VAZIO
C05-1	CHEIO / VAZIO
C05-2	CHEIO / VAZIO
C05-3	CHEIO / VAZIO
C05-4	VAZIO
D05-1	CHEIO / VAZIO
D05-2	CHEIO / VAZIO
D05-3	CHEIO / VAZIO
D05-4	VAZIO
D05-5	VAZIO
E05-1	CHEIO / VAZIO
E05-2	CHEIO / VAZIO
E05-3	CHEIO / VAZIO
E05-4	VAZIO
E05-5	VAZIO
A06-1	CHEIO / VAZIO
A06-2	CHEIO / VAZIO
B06-1	CHEIO / VAZIO
B06-2	CHEIO / VAZIO
B06-3	CHEIO / VAZIO
C06-1	CHEIO / VAZIO
C06-2	CHEIO / VAZIO
C06-3	CHEIO / VAZIO
C06-4	VAZIO
D06-1	CHEIO / VAZIO
D06-2	CHEIO / VAZIO
D06-3	CHEIO / VAZIO
D06-4	VAZIO
D06-5	VAZIO
E06-1	CHEIO / VAZIO
E06-2	CHEIO / VAZIO
E06-3	CHEIO / VAZIO
E06-4	VAZIO
E06-5	VAZIO
A07-1	CHEIO / VAZIO
A07-2	CHEIO / VAZIO
B07-1	CHEIO / VAZIO
B07-2	CHEIO / VAZIO
B07-3	CHEIO / VAZIO
C07-1	CHEIO / VAZIO
C07-2	CHEIO / VAZIO
C07-3	CHEIO / VAZIO
C07-4	VAZIO
D07-1	CHEIO / VAZIO
D07-2	CHEIO / VAZIO
D07-3	CHEIO / VAZIO
D07-4	VAZIO
D07-5	VAZIO
E07-1	CHEIO / VAZIO
E07-2	CHEIO / VAZIO
E07-3	CHEIO / VAZIO
E07-4	VAZIO
E07-5	VAZIO
A08-1	CHEIO / VAZIO
A08-2	CHEIO / VAZIO
B08-1	CHEIO / VAZIO
B08-2	CHEIO / VAZIO
B08-3	CHEIO / VAZIO
